,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__max_iter,param_estimator__penalty,param_estimator__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,0.02479276657104492,0.00037111659194382615,0.012965202331542969,0.00022300665035107758,0.1,1000,l2,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.3333333333333333,0.6363636363636364,0.45454545454545453,0.2727272727272727,0.45454545454545453,43.03030303030303,0.1247955168604485,1
7,0.025029325485229494,0.0006244470084273028,0.013145160675048829,0.00043110091415119757,0.1,5000,l2,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.3333333333333333,0.6363636363636364,0.45454545454545453,0.2727272727272727,0.45454545454545453,43.03030303030303,0.1247955168604485,1
2,0.013913202285766601,0.00026543513787707706,0.012992191314697265,3.614614376083454e-05,0.1,1000,l2,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.4166666666666667,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.45454545454545453,42.87878787878788,0.0888142478166839,3
6,0.015248250961303712,0.002377769311289519,0.013409566879272462,0.0007954611765097829,0.1,5000,l2,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.4166666666666667,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.45454545454545453,42.87878787878788,0.0888142478166839,3
23,0.013949060440063476,9.101203856678731e-05,0.013533210754394532,0.00029981959068127375,10.0,5000,l2,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.3333333333333333,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,39.39393939393939,0.05070666827479245,5
19,0.016207027435302734,0.004573626946086455,0.013106298446655274,0.0001906987036761518,10.0,1000,l2,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.3333333333333333,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,39.39393939393939,0.05070666827479245,5
15,0.03546819686889648,0.006668531593004289,0.01303706169128418,5.4270814298681544e-05,1.0,5000,l2,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.3333333333333333,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.36363636363636365,35.75757575757576,0.05875975584747065,7
11,0.029616641998291015,0.0056722093942238065,0.013584184646606445,0.000807401206027911,1.0,1000,l2,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.3333333333333333,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.36363636363636365,35.75757575757576,0.05875975584747065,7
17,0.042984962463378906,0.005345332973443882,0.012999248504638673,1.5626878364728869e-06,10.0,1000,l1,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.16666666666666666,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.45454545454545453,34.24242424242424,0.11076161746967918,9
22,0.01395416259765625,8.753371808579683e-05,0.01331639289855957,0.0006145848675025157,10.0,5000,l2,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.25,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,32.27272727272727,0.07660136157433053,10
18,0.013889217376708984,0.00022039089505873958,0.013347244262695313,0.0004247591052712864,10.0,1000,l2,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.25,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,32.27272727272727,0.07660136157433053,10
10,0.014236879348754884,0.00041248322591567283,0.013360023498535156,0.0003846716906732195,1.0,1000,l2,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.4166666666666667,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,31.96969696969697,0.05992036343419756,12
14,0.014524745941162109,0.00046615880561087737,0.013200998306274414,0.0003996088847209071,1.0,5000,l2,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.4166666666666667,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,31.96969696969697,0.05992036343419756,12
9,0.03600554466247559,1.2258888899384389e-05,0.013394403457641601,0.0004823558788006429,1.0,1000,l1,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.25,0.45454545454545453,0.2727272727272727,0.45454545454545453,0.09090909090909091,30.454545454545457,0.13757041773110504,14
21,0.11093678474426269,0.019329340575905078,0.012999725341796876,1.9843187463511565e-05,10.0,5000,l1,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,30.303030303030305,0.03833063830507128,15
16,0.11893658638000489,0.2053716100216211,0.01702146530151367,0.007989608020741838,10.0,1000,l1,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.25,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.18181818181818182,28.636363636363637,0.06982859770789644,16
20,0.5471995353698731,1.0649001562597453,0.01800055503845215,0.00950636983358468,10.0,5000,l1,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.25,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.18181818181818182,28.636363636363637,0.06982859770789644,16
8,0.013999557495117188,1.818157011316397e-05,0.013000154495239257,1.9251824157544e-05,1.0,1000,l1,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.25,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.09090909090909091,26.81818181818182,0.12888588071598023,18
12,0.014798879623413086,0.0007467359418076639,0.013399934768676758,0.0007996084083135175,1.0,5000,l1,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.25,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.09090909090909091,26.81818181818182,0.12888588071598023,18
13,0.060200071334838866,0.004400444043679374,0.013199663162231446,0.00039978095593284994,1.0,5000,l1,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.25,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.09090909090909091,26.81818181818182,0.1,18
4,0.013798141479492187,0.00039395423746749805,0.013681650161743164,0.0003777331996220826,0.1,5000,l1,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.25,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.363636363636363,0.06982859770789643,21
0,0.013983917236328126,1.8899481519364254e-05,0.013170242309570312,0.00032903771408315194,0.1,1000,l1,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.25,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.363636363636363,0.06982859770789643,21
1,0.02238607406616211,0.010430902635460272,0.013021135330200195,0.00012966820039661477,0.1,1000,l1,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.16666666666666666,0.18181818181818182,0.0,0.09090909090909091,0.0,8.787878787878789,0.07808544682863712,23
5,0.020611143112182616,0.008217625078820966,0.013260698318481446,0.00038664483212248594,0.1,5000,l1,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.16666666666666666,0.18181818181818182,0.0,0.09090909090909091,0.0,8.787878787878789,0.07808544682863712,23
