,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__max_iter,param_estimator__penalty,param_estimator__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,0.014200544357299805,0.00039966161528519014,0.013492679595947266,0.00043413090646105787,0.1,1000,l2,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.3333333333333333,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.2727272727272727,28.48484848484848,0.062397758430224236,1
6,0.017199134826660155,0.0014698924772555766,0.021600866317749025,0.009831246150150666,0.1,5000,l2,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.3333333333333333,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.2727272727272727,28.48484848484848,0.062397758430224236,1
3,0.01419363021850586,0.0004032777245187767,0.013000011444091797,2.611744678045111e-07,0.1,1000,l2,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.25,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,17.72727272727273,0.050616039662091106,3
7,0.022199201583862304,0.009152904916150223,0.01540060043334961,0.0027990580148342962,0.1,5000,l2,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.25,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,17.72727272727273,0.050616039662091106,3
14,0.014069557189941406,0.00036109760651982216,0.013120317459106445,0.0002441447507241453,1.0,5000,l2,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.16666666666666666,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,16.060606060606062,0.03533910239300182,5
10,0.014005661010742188,1.1581352733768306e-05,0.012994146347045899,1.1501169915528364e-05,1.0,1000,l2,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.16666666666666666,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,16.060606060606062,0.03533910239300182,5
9,0.029600048065185548,0.01077781239559639,0.013609027862548828,0.0004957371554983673,1.0,1000,l1,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,14.545454545454545,0.10909090909090909,7
11,0.016205978393554688,0.004397073897904938,0.013484477996826172,0.0004436804359915846,1.0,1000,l2,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.16666666666666666,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,14.242424242424246,0.04242424242424243,8
15,0.029591989517211915,0.030699940417261522,0.013147497177124023,0.00019035292770619238,1.0,5000,l2,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.16666666666666666,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,14.242424242424246,0.04242424242424243,8
13,0.06499972343444824,0.05337530694923807,0.01319417953491211,0.00040356570252187904,1.0,5000,l1,saga,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.09090909090909091,12.727272727272727,0.092709445701687,10
19,0.02520017623901367,0.00039980418283003683,0.013199806213378906,0.0004001860502113636,10.0,1000,l2,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.08333333333333333,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,10.75757575757576,0.037236987052862144,11
18,0.01459970474243164,0.000799251290816539,0.01340022087097168,0.0004909333599536962,10.0,1000,l2,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.08333333333333333,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,10.75757575757576,0.037236987052862144,11
23,0.023200368881225585,0.004664499322737698,0.013399171829223632,0.0004899405712846852,10.0,5000,l2,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'saga'}",0.08333333333333333,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,10.75757575757576,0.037236987052862144,11
22,0.014199542999267577,0.0003988506511931897,0.01320028305053711,0.00039994899632792843,10.0,5000,l2,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'}",0.08333333333333333,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,10.75757575757576,0.037236987052862144,11
17,0.03840641975402832,0.004313882280407278,0.013593626022338868,0.0004972367346216982,10.0,1000,l1,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.0,0.2727272727272727,0.0,0.0,0.09090909090909091,7.2727272727272725,0.10601730717900545,15
16,0.018399810791015624,0.008800220525674132,0.013000154495239257,7.168434323488668e-07,10.0,1000,l1,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.0,0.2727272727272727,0.0,0.0,0.0,5.454545454545454,0.10909090909090909,16
20,0.038508129119873044,0.04824226300093293,0.013293933868408204,0.0003943793962748246,10.0,5000,l1,liblinear,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.0,0.2727272727272727,0.0,0.0,0.0,5.454545454545454,0.10909090909090909,16
21,0.06439485549926757,0.015170602287051832,0.013205432891845703,0.000398999674435449,10.0,5000,l1,saga,"{'estimator__C': 10.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.0,0.2727272727272727,0.0,0.0,0.0,5.454545454545454,0.10909090909090909,16
8,0.014199352264404297,0.00040001941673566935,0.01300053596496582,6.641573084442195e-07,1.0,1000,l1,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.16666666666666666,0.0,0.0,0.0,0.09090909090909091,5.151515151515151,0.06748805288278814,19
12,0.014006757736206054,1.233211889972523e-05,0.012999439239501953,1.0619667745266003e-06,1.0,5000,l1,liblinear,"{'estimator__C': 1.0, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.16666666666666666,0.0,0.0,0.0,0.09090909090909091,5.151515151515151,0.06748805288278814,19
5,0.014041805267333984,5.3864155203727614e-05,0.013086605072021484,0.0002953719424597827,0.1,5000,l1,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
4,0.013999700546264648,3.371747880871523e-07,0.01300048828125,6.217195897295617e-07,0.1,5000,l1,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 5000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
1,0.014333009719848633,0.00034216174539387814,0.013079833984375,0.000238778100741833,0.1,1000,l1,saga,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
0,0.014025259017944335,4.35943400730437e-05,0.013004732131958009,1.5999574330619183e-05,0.1,1000,l1,liblinear,"{'estimator__C': 0.1, 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
