,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,0.26839408874511717,0.003951137161465531,0.17569427490234374,0.01304772957550976,20,2,2,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
38,0.29740128517150877,0.025071462924181227,0.1714000701904297,0.00135549630145441,10,2,2,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
41,0.28958587646484374,0.009940657105077931,0.17101035118103028,0.003963366492549008,10,2,5,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
17,0.26331753730773927,0.009258652137377006,0.1744213581085205,0.0022169206542840994,,2,10,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
71,0.29830336570739746,0.016663905814274505,0.17219963073730468,0.005776368870131193,20,2,10,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
44,0.28119893074035646,0.010553306464273781,0.1714003562927246,0.0037201224650134164,10,2,10,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
68,0.2686058521270752,0.005322090123338687,0.17160625457763673,0.0072398676500313374,20,2,5,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
14,0.30478839874267577,0.03135009837315877,0.17759528160095214,0.016238380269843634,,2,5,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
11,0.2877999782562256,0.00945289340800709,0.17260594367980958,0.0038246050747384234,,2,2,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.25,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,28.636363636363637,0.06982859770789646,1
67,0.1415046215057373,0.008066633392961523,0.08680191040039062,0.0016004061864410253,20,2,5,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.16666666666666666,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.515151515151516,0.09408590725006075,10
16,0.1375211238861084,0.006864371593933832,0.08681674003601074,0.0013752809600919534,,2,10,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.16666666666666666,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.515151515151516,0.09408590725006075,10
13,0.14321765899658204,0.008507437937550344,0.08979306221008301,0.0043257411402649075,,2,5,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.16666666666666666,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.515151515151516,0.09408590725006075,10
40,0.149413537979126,0.00216801663740668,0.08840060234069824,0.0025768957819167202,10,2,5,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.16666666666666666,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.515151515151516,0.09408590725006075,10
64,0.13890476226806642,0.008495256315655396,0.08570342063903809,0.001406169522824972,20,2,2,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.16666666666666666,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,21.515151515151516,0.09408590725006075,10
